GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeaCompliance Engine,com.teacompliance.validation,LotCodeValidator,2,15,1,1,1,5,1,4,0,4
TeaCompliance Engine,com.teacompliance.validation,PesticideLevelValidator,1,26,2,4,0,6,2,4,0,3
TeaCompliance Engine,com.teacompliance.config,CacheConfig,0,16,0,0,0,4,0,2,0,2
TeaCompliance Engine,com.teacompliance.config,DataInitializer,0,322,2,6,0,58,2,9,0,7
TeaCompliance Engine,com.teacompliance.config,OpenApiConfig,0,49,0,0,0,17,0,2,0,2
TeaCompliance Engine,com.teacompliance,TeaComplianceApplication,5,3,0,0,2,1,1,1,1,1
TeaCompliance Engine,com.teacompliance.dto,ComplianceCheckResponse.EvaluationSummary,45,0,0,0,13,0,13,0,13,0
TeaCompliance Engine,com.teacompliance.dto,TeaLotRequest,0,52,0,0,0,15,0,15,0,15
TeaCompliance Engine,com.teacompliance.dto,ComplianceCheckResponse,45,0,0,0,13,0,13,0,13,0
TeaCompliance Engine,com.teacompliance.dto,ComplianceCheckResponse.RuleResult,52,0,0,0,15,0,15,0,15,0
TeaCompliance Engine,com.teacompliance.exception,TeaLotNotFoundException,12,0,0,0,4,0,2,0,2,0
TeaCompliance Engine,com.teacompliance.exception,GlobalExceptionHandler,147,138,0,0,37,30,7,7,7,7
TeaCompliance Engine,com.teacompliance.exception,TeaComplianceException,23,10,0,0,9,4,3,2,3,2
TeaCompliance Engine,com.teacompliance.exception,DuplicateTeaLotException,0,6,0,0,0,2,0,1,0,1
TeaCompliance Engine,com.teacompliance.exception,ComplianceRuleNotFoundException,6,0,0,0,2,0,1,0,1,0
TeaCompliance Engine,com.teacompliance.exception,ComplianceEvaluationException,13,0,0,0,4,0,2,0,2,0
TeaCompliance Engine,com.teacompliance.domain,TeaLot,88,59,12,0,16,17,10,17,4,17
TeaCompliance Engine,com.teacompliance.domain,ComplianceRule.RuleType,0,21,0,0,0,4,0,1,0,1
TeaCompliance Engine,com.teacompliance.domain,ComplianceRule.Severity,0,21,0,0,0,4,0,1,0,1
TeaCompliance Engine,com.teacompliance.domain,ComplianceRule,43,33,0,0,15,9,7,9,7,9
TeaCompliance Engine,com.teacompliance.domain,ComplianceResult,73,3,0,0,23,1,15,1,15,1
TeaCompliance Engine,com.teacompliance.domain,ComplianceResult.EvaluationResult,0,15,0,0,0,3,0,1,0,1
TeaCompliance Engine,com.teacompliance.domain,ComplianceRule.ComparisonOperator,3,39,0,0,1,8,1,2,1,2
TeaCompliance Engine,com.teacompliance.service,ComplianceEvaluationEngine,244,16,14,0,51,6,16,2,9,2
TeaCompliance Engine,com.teacompliance.service,ComplianceService,214,19,14,0,41,7,19,2,12,2
TeaCompliance Engine,com.teacompliance.service,TeaLotService,0,96,0,2,0,23,0,9,0,8
TeaCompliance Engine,com.teacompliance.service.evaluation,PesticideEvaluationStrategy,99,3,15,0,14,1,12,1,3,1
TeaCompliance Engine,com.teacompliance.service.evaluation,MoistureEvaluationStrategy,99,3,15,0,14,1,12,1,3,1
TeaCompliance Engine,com.teacompliance.service.evaluation,RuleEvaluationStrategy.EvaluationResult,21,0,0,0,8,0,4,0,4,0
TeaCompliance Engine,com.teacompliance.service.evaluation,AromaEvaluationStrategy,103,3,15,0,14,1,12,1,3,1
TeaCompliance Engine,com.teacompliance.controller,TeaLotController,58,25,0,0,15,7,5,3,5,3
TeaCompliance Engine,com.teacompliance.controller,ComplianceController,58,10,0,0,16,4,2,2,2,2
